geneSymbol,rank,tumour_acronym,N,any_alter_freq,mut_freq,any_cna_freq,amp_freq,deep_del_freq
SF3B1,1,KICH,65,0.7230769230769231,0.0,0.7230769230769231,0.0,0.0
SF3B1,2,OV,511,0.5420743639921722,0.003913894324853229,0.538160469667319,0.021526418786692758,0.0019569471624266144
SF3B1,3,UCS,56,0.5357142857142857,0.017857142857142856,0.5178571428571429,0.0,0.0
SF3B1,4,BLCA,407,0.457002457002457,0.05896805896805897,0.4201474201474201,0.0,0.002457002457002457
SF3B1,5,LUSC,484,0.4462809917355372,0.028925619834710745,0.4318181818181818,0.02066115702479339,0.0
SF3A1,1,OV,511,0.8395303326810176,0.009784735812133072,0.8317025440313112,0.019569471624266144,0.0
SF3A1,2,MESO,86,0.7906976744186046,0.0,0.7906976744186046,0.0,0.0
SF3A1,3,UCS,56,0.7321428571428571,0.0,0.7321428571428571,0.03571428571428571,0.0
SF3A1,4,LUSC,484,0.6735537190082644,0.012396694214876033,0.6714876033057852,0.01652892561983471,0.0
SF3A1,5,ESCA,182,0.5934065934065934,0.016483516483516484,0.5879120879120879,0.005494505494505495,0.0
U2AF1,1,TGCT,149,0.8657718120805369,0.0,0.8657718120805369,0.0,0.0
U2AF1,2,ESCA,182,0.6923076923076923,0.0,0.6923076923076923,0.005494505494505495,0.005494505494505495
U2AF1,3,LUSC,484,0.6859504132231405,0.002066115702479339,0.6859504132231405,0.002066115702479339,0.006198347107438017
U2AF1,4,UCS,56,0.6428571428571429,0.03571428571428571,0.6428571428571429,0.017857142857142856,0.0
U2AF1,5,OV,511,0.6418786692759295,0.0019569471624266144,0.6418786692759295,0.015655577299412915,0.0019569471624266144
U2AF2,1,UCS,56,0.7321428571428571,0.0,0.7321428571428571,0.03571428571428571,0.0
U2AF2,2,OV,511,0.7025440313111546,0.0019569471624266144,0.700587084148728,0.021526418786692758,0.0
U2AF2,3,ACC,89,0.6853932584269663,0.0,0.6853932584269663,0.02247191011235955,0.0
U2AF2,4,LUSC,484,0.6198347107438017,0.010330578512396695,0.6177685950413223,0.01652892561983471,0.0
U2AF2,5,LGG,511,0.5831702544031311,0.005870841487279843,0.5831702544031311,0.003913894324853229,0.0410958904109589
SRSF2,1,KICH,65,0.7384615384615385,0.015384615384615385,0.7384615384615385,0.0,0.0
SRSF2,2,OV,511,0.7142857142857143,0.0,0.7142857142857143,0.025440313111545987,0.0
SRSF2,3,KIRP,276,0.7028985507246377,0.0,0.7028985507246377,0.0,0.0
SRSF2,4,UCS,56,0.6785714285714286,0.0,0.6785714285714286,0.017857142857142856,0.0
SRSF2,5,LUSC,484,0.6012396694214877,0.008264462809917356,0.5950413223140496,0.01859504132231405,0.002066115702479339
ZRSR2,1,OV,511,0.7514677103718199,0.0019569471624266144,0.7495107632093934,0.01761252446183953,0.007827788649706457
ZRSR2,2,KICH,65,0.7230769230769231,0.0,0.7230769230769231,0.0,0.0
ZRSR2,3,ACC,89,0.6629213483146067,0.011235955056179775,0.651685393258427,0.0,0.0
ZRSR2,4,UCS,56,0.625,0.0,0.625,0.0,0.017857142857142856
ZRSR2,5,SARC,253,0.5810276679841897,0.0,0.5810276679841897,0.015810276679841896,0.007905138339920948
RBM10,1,KICH,65,0.7384615384615385,0.015384615384615385,0.7230769230769231,0.0,0.0
RBM10,2,OV,511,0.7240704500978473,0.0019569471624266144,0.7221135029354208,0.04892367906066536,0.003913894324853229
RBM10,3,ACC,89,0.6741573033707865,0.02247191011235955,0.6741573033707865,0.02247191011235955,0.0
RBM10,4,UCS,56,0.6607142857142857,0.0,0.6607142857142857,0.03571428571428571,0.0
RBM10,5,SARC,253,0.5731225296442688,0.003952569169960474,0.5691699604743083,0.019762845849802372,0.003952569169960474
PRPF8,1,UCS,56,0.8392857142857143,0.05357142857142857,0.8392857142857143,0.017857142857142856,0.0
