rank,tumour_acronym,mean_any_alter_freq,mean_mut_freq,mean_any_cna_freq,N,n_genes
1,OV,0.6957599478147424,0.003000652315720809,0.6939334637964776,511,15
2,UCS,0.6952380952380952,0.007142857142857143,0.6940476190476191,56,15
3,LUSC,0.5805785123966942,0.011570247933884299,0.5767217630853995,484,15
4,ESCA,0.5578754578754579,0.006593406593406594,0.5545787545787546,182,15
5,KICH,0.5517948717948719,0.0041025641025641026,0.5497435897435898,65,15
6,ACC,0.550561797752809,0.00599250936329588,0.5475655430711611,89,15
7,TGCT,0.5055928411633109,0.0013422818791946308,0.505145413870246,149,15
8,LUAD,0.5025440313111545,0.01709067188519243,0.49354207436399217,511,15
9,SARC,0.49881422924901186,0.002898550724637681,0.4972332015810277,253,15
10,BLCA,0.4964782964782965,0.01998361998361998,0.486977886977887,407,15
11,SKCM,0.46611570247933887,0.03636363636363636,0.4459136822773186,363,15
12,BRCA,0.4415716096324462,0.005449936628643853,0.438212927756654,1052,15
13,STAD,0.406605222734255,0.01597542242703533,0.393394777265745,434,15
14,COADREAD,0.40175438596491225,0.017418546365914785,0.38721804511278196,532,15
15,CHOL,0.387037037037037,0.0037037037037037034,0.3851851851851852,36,15
16,CESC,0.3842044134727062,0.011382113821138212,0.3763066202090592,287,15
17,LIHC,0.38190212373037863,0.006463527239150508,0.37691597414589106,361,15
18,HNSC,0.3762933857236411,0.007203667321545514,0.3714472822527833,509,15
19,MESO,0.3674418604651163,0.002325581395348837,0.36511627906976746,86,15
20,GBM,0.33368421052631575,0.007017543859649122,0.32824561403508773,380,15
21,KIRP,0.33212560386473433,0.00676328502415459,0.3272946859903382,276,15
22,PAAD,0.3022471910112359,0.00599250936329588,0.297378277153558,178,15
23,UCEC,0.2945857795172863,0.04657534246575342,0.24996738421395956,511,15
24,PCPG,0.2670807453416149,0.0008281573498964803,0.26666666666666666,161,15
25,LGG,0.22113502935420742,0.009262883235485974,0.21865622961513373,511,15
26,DLBC,0.20975609756097563,0.008130081300813007,0.2016260162601626,41,15
27,KIRC,0.1885,0.005666666666666667,0.18333333333333332,400,15
28,UVM,0.17666666666666667,0.018333333333333333,0.15833333333333333,80,15
29,PRAD,0.12010906612133605,0.0027266530334014998,0.1176550783912747,489,15
30,THYM,0.1008130081300813,0.0016260162601626016,0.0991869918699187,123,15
31,LAML,0.05724258289703316,0.007329842931937173,0.050261780104712044,191,15
32,THCA,0.050376454483230665,0.0013689253935660506,0.04900752908966462,487,15
