tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",SF3B1,23451,89,2,0.02247191011235955,0,0.0,15,0.16853932584269662,14,0.15730337078651685,0,0.0,29,0.3258426966292135,31,0.34831460674157305,2,29,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",SF3A1,10291,89,0,0.0,0,0.0,5,0.056179775280898875,43,0.48314606741573035,1,0.011235955056179775,49,0.550561797752809,49,0.550561797752809,0,49,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",U2AF1,7307,89,1,0.011235955056179775,0,0.0,33,0.3707865168539326,13,0.14606741573033707,1,0.011235955056179775,47,0.5280898876404494,47,0.5280898876404494,0,46,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",U2AF2,11338,89,0,0.0,2,0.02247191011235955,55,0.6179775280898876,4,0.0449438202247191,0,0.0,61,0.6853932584269663,61,0.6853932584269663,0,61,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",SRSF2,6427,89,0,0.0,0,0.0,12,0.1348314606741573,20,0.2247191011235955,0,0.0,32,0.3595505617977528,32,0.3595505617977528,0,32,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",ZRSR2,8233,89,1,0.011235955056179775,0,0.0,45,0.5056179775280899,13,0.14606741573033707,0,0.0,58,0.651685393258427,59,0.6629213483146067,1,58,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",RBM10,8241,89,2,0.02247191011235955,2,0.02247191011235955,46,0.5168539325842697,12,0.1348314606741573,0,0.0,60,0.6741573033707865,60,0.6741573033707865,0,58,2
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",PRPF8,10594,89,1,0.011235955056179775,1,0.011235955056179775,8,0.0898876404494382,32,0.3595505617977528,2,0.02247191011235955,43,0.48314606741573035,44,0.4943820224719101,1,43,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",LUC7L2,51631,89,0,0.0,1,0.011235955056179775,48,0.5393258426966292,8,0.0898876404494382,0,0.0,57,0.6404494382022472,57,0.6404494382022472,0,57,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",DDX3X,1654,89,0,0.0,0,0.0,46,0.5168539325842697,13,0.14606741573033707,0,0.0,59,0.6629213483146067,59,0.6629213483146067,0,59,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",SUGP1,57794,89,0,0.0,2,0.02247191011235955,55,0.6179775280898876,3,0.033707865168539325,0,0.0,60,0.6741573033707865,60,0.6741573033707865,0,60,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",PHF5A,84844,89,0,0.0,1,0.011235955056179775,6,0.06741573033707865,44,0.4943820224719101,0,0.0,51,0.5730337078651685,51,0.5730337078651685,0,51,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",RBM39,9584,89,1,0.011235955056179775,3,0.033707865168539325,48,0.5393258426966292,3,0.033707865168539325,0,0.0,54,0.6067415730337079,54,0.6067415730337079,0,53,1
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",HNRNPK,3190,89,0,0.0,1,0.011235955056179775,29,0.3258426966292135,6,0.06741573033707865,0,0.0,36,0.4044943820224719,36,0.4044943820224719,0,36,0
ACC,acc_tcga_pan_can_atlas_2018,"Adrenocortical Carcinoma (TCGA, PanCancer Atlas)",FUBP1,8880,89,0,0.0,1,0.011235955056179775,3,0.033707865168539325,31,0.34831460674157305,0,0.0,35,0.39325842696629215,35,0.39325842696629215,0,35,0
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",SF3B1,23451,407,24,0.05896805896805897,0,0.0,41,0.10073710073710074,129,0.31695331695331697,1,0.002457002457002457,171,0.4201474201474201,186,0.457002457002457,15,162,9
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",SF3A1,10291,407,6,0.014742014742014743,15,0.036855036855036855,68,0.16707616707616707,137,0.3366093366093366,0,0.0,220,0.5405405405405406,222,0.5454545454545454,2,216,4
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",U2AF1,7307,407,8,0.019656019656019656,2,0.004914004914004914,123,0.3022113022113022,85,0.20884520884520885,2,0.004914004914004914,212,0.5208845208845209,215,0.5282555282555282,3,207,5
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",U2AF2,11338,407,4,0.009828009828009828,13,0.03194103194103194,149,0.36609336609336607,58,0.14250614250614252,0,0.0,220,0.5405405405405406,221,0.542997542997543,1,217,3
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",SRSF2,6427,407,5,0.012285012285012284,7,0.0171990171990172,184,0.4520884520884521,19,0.04668304668304668,0,0.0,210,0.515970515970516,213,0.5233415233415234,3,208,2
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",ZRSR2,8233,407,4,0.009828009828009828,2,0.004914004914004914,75,0.18427518427518427,74,0.18181818181818182,3,0.007371007371007371,154,0.3783783783783784,156,0.3832923832923833,2,152,2
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",RBM10,8241,407,15,0.036855036855036855,2,0.004914004914004914,68,0.16707616707616707,80,0.19656019656019655,3,0.007371007371007371,153,0.3759213759213759,163,0.4004914004914005,10,148,5
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",PRPF8,10594,407,9,0.022113022113022112,2,0.004914004914004914,47,0.11547911547911548,197,0.48402948402948404,5,0.012285012285012284,251,0.6167076167076168,255,0.6265356265356266,4,246,5
BLCA,blca_tcga_pan_can_atlas_2018,"Bladder Urothelial Carcinoma (TCGA, PanCancer Atlas)",LUC7L2,51631,407,0,0.0,2,0.004914004914004914,133,0.32678132678132676,44,0.10810810810810811,1,0.002457002457002457,180,0.44226044226044225,180,0.44226044226044225,0,180,0
