geneSymbol,ACC,BLCA,BRCA,CESC,CHOL,COADREAD,DLBC,ESCA,GBM,HNSC,KICH,KIRC,KIRP,LAML,LGG,LIHC,LUAD,LUSC,MESO,OV,PAAD,PCPG,PRAD,SARC,SKCM,STAD,TGCT,THCA,THYM,UCEC,UCS,UVM
SF3B1,0.34831460674157305,0.457002457002457,0.3269961977186312,0.3344947735191638,0.2777777777777778,0.2951127819548872,0.1951219512195122,0.42857142857142855,0.12368421052631579,0.31237721021611004,0.7230769230769231,0.2,0.2210144927536232,0.031413612565445025,0.07827788649706457,0.27146814404432135,0.36007827788649704,0.4462809917355372,0.1744186046511628,0.5420743639921722,0.16853932584269662,0.09316770186335403,0.07975460122699386,0.38735177865612647,0.3939393939393939,0.27880184331797236,0.33557046979865773,0.024640657084188913,0.032520325203252036,0.2876712328767123,0.5357142857142857,0.3375
SF3A1,0.550561797752809,0.5454545454545454,0.5522813688212928,0.3554006968641115,0.3333333333333333,0.37030075187969924,0.0975609756097561,0.5934065934065934,0.4131578947368421,0.37328094302554027,0.4153846153846154,0.1625,0.23550724637681159,0.06282722513089005,0.16046966731898238,0.3462603878116344,0.5675146771037182,0.6735537190082644,0.7906976744186046,0.8395303326810176,0.33707865168539325,0.36645962732919257,0.13496932515337423,0.525691699604743,0.4986225895316804,0.4147465437788018,0.5771812080536913,0.1806981519507187,0.17073170731707318,0.30919765166340507,0.7321428571428571,0.075
U2AF1,0.5280898876404494,0.5282555282555282,0.3887832699619772,0.3310104529616725,0.5277777777777778,0.40225563909774437,0.21951219512195122,0.6923076923076923,0.20789473684210527,0.4715127701375246,0.5846153846153846,0.2075,0.2028985507246377,0.1099476439790576,0.12524461839530332,0.39058171745152354,0.5518590998043053,0.6859504132231405,0.20930232558139536,0.6418786692759295,0.3595505617977528,0.2484472049689441,0.12474437627811862,0.4624505928853755,0.39669421487603307,0.5092165898617511,0.8657718120805369,0.026694045174537988,0.10569105691056911,0.23679060665362034,0.6428571428571429,0.2125
U2AF2,0.6853932584269663,0.542997542997543,0.4049429657794677,0.42160278745644597,0.3055555555555556,0.31954887218045114,0.24390243902439024,0.5439560439560439,0.4368421052631579,0.36345776031434185,0.3230769230769231,0.1275,0.09782608695652174,0.05235602094240838,0.5831702544031311,0.32409972299168976,0.5068493150684932,0.6198347107438017,0.22093023255813954,0.7025440313111546,0.3089887640449438,0.13664596273291926,0.08588957055214724,0.5296442687747036,0.3884297520661157,0.41935483870967744,0.5637583892617449,0.024640657084188913,0.04878048780487805,0.273972602739726,0.7321428571428571,0.0625
SRSF2,0.3595505617977528,0.5233415233415234,0.5237642585551331,0.3693379790940767,0.2777777777777778,0.35150375939849626,0.17073170731707318,0.5274725274725275,0.2236842105263158,0.3005893909626719,0.7384615384615385,0.1375,0.7028985507246377,0.06282722513089005,0.10763209393346379,0.4487534626038781,0.5694716242661448,0.6012396694214877,0.313953488372093,0.7142857142857143,0.3539325842696629,0.14285714285714285,0.1083844580777096,0.4624505928853755,0.46831955922865015,0.3870967741935484,0.44966442953020136,0.039014373716632446,0.11382113821138211,0.26614481409001955,0.6785714285714286,0.2125
ZRSR2,0.6629213483146067,0.3832923832923833,0.35456273764258556,0.39372822299651566,0.4722222222222222,0.33270676691729323,0.2926829268292683,0.5054945054945055,0.2657894736842105,0.3831041257367387,0.7230769230769231,0.16,0.427536231884058,0.041884816753926704,0.2583170254403131,0.3988919667590028,0.37181996086105673,0.44421487603305787,0.37209302325581395,0.7514677103718199,0.20786516853932585,0.32298136645962733,0.10429447852760736,0.5810276679841897,0.39669421487603307,0.3087557603686636,0.3691275167785235,0.022587268993839837,0.08130081300813008,0.31898238747553814,0.625,0.275
RBM10,0.6741573033707865,0.4004914004914005,0.34790874524714827,0.37630662020905925,0.5,0.33646616541353386,0.21951219512195122,0.5,0.25526315789473686,0.36345776031434185,0.7384615384615385,0.155,0.44565217391304346,0.041884816753926704,0.24266144814090018,0.38227146814404434,0.3776908023483366,0.41735537190082644,0.38372093023255816,0.7240704500978473,0.2247191011235955,0.3167701863354037,0.08997955010224949,0.5731225296442688,0.4022038567493113,0.2834101382488479,0.3624161073825503,0.022587268993839837,0.08130081300813008,0.33463796477495106,0.6607142857142857,0.2875
PRPF8,0.4943820224719101,0.6265356265356266,0.6539923954372624,0.43205574912891986,0.4166666666666667,0.6484962406015038,0.3170731707317073,0.6263736263736264,0.25,0.37721021611001965,0.7538461538461538,0.175,0.6521739130434783,0.09424083769633508,0.09393346379647749,0.6398891966759003,0.6360078277886497,0.7396694214876033,0.3488372093023256,0.8317025440313112,0.5617977528089888,0.40993788819875776,0.21063394683026584,0.5691699604743083,0.5179063360881543,0.4976958525345622,0.5503355704697986,0.04722792607802875,0.13008130081300814,0.3913894324853229,0.8392857142857143,0.15
LUC7L2,0.6404494382022472,0.44226044226044225,0.41539923954372626,0.3240418118466899,0.2777777777777778,0.5150375939849624,0.34146341463414637,0.6318681318681318,0.8552631578947368,0.40471512770137524,0.38461538461538464,0.3275,0.6123188405797102,0.12041884816753927,0.3561643835616438,0.3988919667590028,0.5244618395303327,0.5950413223140496,0.313953488372093,0.6575342465753424,0.33146067415730335,0.17391304347826086,0.21267893660531698,0.45454545454545453,0.6556473829201102,0.4976958525345622,0.697986577181208,0.039014373716632446,0.16260162601626016,0.25440313111545987,0.625,0.0875
DDX3X,0.6629213483146067,0.3906633906633907,0.344106463878327,0.41114982578397213,0.5,0.32706766917293234,0.2926829268292683,0.5054945054945055,0.2578947368421053,0.3791748526522593,0.7230769230769231,0.16,0.4492753623188406,0.041884816753926704,0.24853228962818003,0.39058171745152354,0.350293542074364,0.4214876033057851,0.4069767441860465,0.7377690802348337,0.20224719101123595,0.3167701863354037,0.08793456032719836,0.5770750988142292,0.4325068870523416,0.30414746543778803,0.3624161073825503,0.022587268993839837,0.08130081300813008,0.36203522504892366,0.6607142857142857,0.275
SUGP1,0.6741573033707865,0.4692874692874693,0.3982889733840304,0.3797909407665505,0.3055555555555556,0.29699248120300753,0.0975609756097561,0.5164835164835165,0.4368421052631579,0.33988212180746563,0.3076923076923077,0.13,0.08333333333333333,0.04712041884816754,0.24070450097847357,0.31024930747922436,0.5518590998043053,0.5743801652892562,0.26744186046511625,0.6790606653620352,0.24157303370786518,0.13664596273291926,0.07157464212678936,0.4743083003952569,0.40771349862258954,0.39631336405529954,0.5637583892617449,0.028747433264887063,0.06504065040650407,0.2857142857142857,0.7678571428571429,0.075
